RECORD_ID,QUARTER,YEAR,BRAND,MARKET_SHARE_PERCENT,UNITS_SHIPPED,SEGMENT,AVERAGE_PRICE
1,Q1,2022,Apple,52.65,5265000,Premium (>$400),1107
2,Q1,2022,Apple,1.31,131000,Mid-range ($200-$400),391
3,Q1,2022,Apple,4.95,495000,Budget (<$200),907
4,Q1,2022,Samsung,11.46,1146000,Premium (>$400),1015
5,Q1,2022,Samsung,7.08,708000,Mid-range ($200-$400),813
6,Q1,2022,Samsung,17.48,1748000,Budget (<$200),933
7,Q1,2022,Xiaomi,6.92,692000,Premium (>$400),624
8,Q1,2022,Xiaomi,11.73,1173000,Mid-range ($200-$400),887
9,Q1,2022,Xiaomi,18.43,1843000,Budget (<$200),1091
10,Q1,2022,Vivo,8.29,828999,Premium (>$400),543
11,Q1,2022,Vivo,19.3,1930000,Mid-range ($200-$400),249
12,Q1,2022,Vivo,6.06,606000,Budget (<$200),505
13,Q1,2022,OPPO,15.51,1551000,Premium (>$400),1103
14,Q1,2022,OPPO,16.32,1632000,Mid-range ($200-$400),997
15,Q1,2022,OPPO,11.14,1114000,Budget (<$200),1015
16,Q1,2022,OnePlus,22.73,2273000,Premium (>$400),891
17,Q1,2022,OnePlus,13.24,1324000,Mid-range ($200-$400),570
18,Q1,2022,OnePlus,18.65,1864999,Budget (<$200),669
19,Q1,2022,Realme,23.61,2361000,Premium (>$400),656
20,Q1,2022,Realme,15.34,1534000,Mid-range ($200-$400),746
21,Q1,2022,Realme,14.87,1487000,Budget (<$200),211
22,Q1,2022,Others,21.6,2160000,Premium (>$400),904
23,Q1,2022,Others,12.95,1295000,Mid-range ($200-$400),1037
24,Q1,2022,Others,13.87,1387000,Budget (<$200),920
25,Q2,2022,Apple,48.46,4846000,Premium (>$400),737
26,Q2,2022,Apple,1.71,171000,Mid-range ($200-$400),1066
27,Q2,2022,Apple,4.96,496000,Budget (<$200),1098
28,Q2,2022,Samsung,14.06,1406000,Premium (>$400),409
29,Q2,2022,Samsung,23.92,2392000,Mid-range ($200-$400),1051
30,Q2,2022,Samsung,17.87,1787000,Budget (<$200),374
31,Q2,2022,Xiaomi,18.85,1885000,Premium (>$400),623
32,Q2,2022,Xiaomi,7.36,736000,Mid-range ($200-$400),275
33,Q2,2022,Xiaomi,19.11,1911000,Budget (<$200),878
34,Q2,2022,Vivo,7.09,709000,Premium (>$400),317
35,Q2,2022,Vivo,21.68,2168000,Mid-range ($200-$400),1197
36,Q2,2022,Vivo,6.78,678000,Budget (<$200),763
